Time,EF5DBA5F-A145-417F-BC74-166FF4EA5175_0::Des Heat Load [W],EF5DBA5F-A145-417F-BC74-166FF4EA5175_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Des Sens Cool Load [W],EF5DBA5F-A145-417F-BC74-166FF4EA5175_0::Des Heat Mass Flow [kg/s],EF5DBA5F-A145-417F-BC74-166FF4EA5175_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Des Cool Mass Flow [kg/s],EF5DBA5F-A145-417F-BC74-166FF4EA5175_0::Des Latent Heat Load [W],EF5DBA5F-A145-417F-BC74-166FF4EA5175_0::Des Latent Cool Load [W],EF5DBA5F-A145-417F-BC74-166FF4EA5175_0::Des Latent Heat Mass Flow [kg/s],EF5DBA5F-A145-417F-BC74-166FF4EA5175_0::Des Latent Cool Mass Flow [kg/s],EF5DBA5F-A145-417F-BC74-166FF4EA5175_0::Des Heat Load No DOAS [W],EF5DBA5F-A145-417F-BC74-166FF4EA5175_0::Des Sens Cool Load No DOAS [W],EF5DBA5F-A145-417F-BC74-166FF4EA5175_0::Des Latent Heat Load No DOAS [W],EF5DBA5F-A145-417F-BC74-166FF4EA5175_0::Des Latent Cool Load No DOAS [W],EF5DBA5F-A145-417F-BC74-166FF4EA5175_0::Heating Zone Temperature [C],EF5DBA5F-A145-417F-BC74-166FF4EA5175_0::Heating Zone Relative Humidity [%],EF5DBA5F-A145-417F-BC74-166FF4EA5175_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Cooling Zone Temperature [C],EF5DBA5F-A145-417F-BC74-166FF4EA5175_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Cooling Zone Relative Humidity [%]
00:10:00,0.000000E+00,1.126115E+04,0.000000E+00,7.878580E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.599189E+01,4.675679E+01
00:20:00,0.000000E+00,1.124837E+04,0.000000E+00,7.869608E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.599188E+01,4.676249E+01
00:30:00,0.000000E+00,1.123830E+04,0.000000E+00,7.862534E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.599188E+01,4.677028E+01
00:40:00,0.000000E+00,1.123185E+04,0.000000E+00,7.857984E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.599188E+01,4.677985E+01
00:50:00,0.000000E+00,1.122918E+04,0.000000E+00,7.856077E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.599187E+01,4.678988E+01
01:00:00,0.000000E+00,1.123123E+04,0.000000E+00,7.857477E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.599185E+01,4.679964E+01
01:10:00,0.000000E+00,1.122178E+04,0.000000E+00,7.850871E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.599184E+01,4.680896E+01
01:20:00,0.000000E+00,1.120921E+04,0.000000E+00,7.842081E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.599184E+01,4.682089E+01
01:30:00,0.000000E+00,1.119402E+04,0.000000E+00,7.831455E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.599184E+01,4.683623E+01
01:40:00,0.000000E+00,1.117539E+04,0.000000E+00,7.818423E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.599184E+01,4.685401E+01
01:50:00,0.000000E+00,1.115323E+04,0.000000E+00,7.802922E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.599183E+01,4.687302E+01
02:00:00,0.000000E+00,1.112742E+04,0.000000E+00,7.784871E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.599182E+01,4.689252E+01
02:10:00,0.000000E+00,1.110071E+04,0.000000E+00,7.766186E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.599181E+01,4.691221E+01
02:20:00,0.000000E+00,1.107317E+04,0.000000E+00,7.746925E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.599180E+01,4.693102E+01
02:30:00,0.000000E+00,1.104482E+04,0.000000E+00,7.727094E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.599180E+01,4.694878E+01
02:40:00,0.000000E+00,1.101566E+04,0.000000E+00,7.706693E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.599179E+01,4.696586E+01
02:50:00,0.000000E+00,1.098568E+04,0.000000E+00,7.685723E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.599179E+01,4.698269E+01
03:00:00,0.000000E+00,1.095488E+04,0.000000E+00,7.664180E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.599179E+01,4.699949E+01
03:10:00,0.000000E+00,1.092403E+04,0.000000E+00,7.642599E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.599178E+01,4.701635E+01
03:20:00,0.000000E+00,1.089309E+04,0.000000E+00,7.620953E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.599178E+01,4.703297E+01
03:30:00,0.000000E+00,1.086142E+04,0.000000E+00,7.598801E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.599178E+01,4.704936E+01
03:40:00,0.000000E+00,1.082941E+04,0.000000E+00,7.576407E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.599178E+01,4.706627E+01
03:50:00,0.000000E+00,1.079707E+04,0.000000E+00,7.553786E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.599178E+01,4.708360E+01
04:00:00,0.000000E+00,1.076453E+04,0.000000E+00,7.531016E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.599178E+01,4.710115E+01
04:10:00,0.000000E+00,1.073538E+04,0.000000E+00,7.510628E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.599178E+01,4.711871E+01
04:20:00,0.000000E+00,1.070980E+04,0.000000E+00,7.492733E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.599176E+01,4.713301E+01
04:30:00,0.000000E+00,1.068845E+04,0.000000E+00,7.477798E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.599175E+01,4.714335E+01
04:40:00,0.000000E+00,1.067095E+04,0.000000E+00,7.465559E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.599174E+01,4.715097E+01
04:50:00,0.000000E+00,1.065720E+04,0.000000E+00,7.455941E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.599174E+01,4.715728E+01
05:00:00,0.000000E+00,1.064713E+04,0.000000E+00,7.448900E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.599174E+01,4.716327E+01
