1,cubewall_unscheduled_0519.eso,cubewall_scheduled_0519.eso,
,,,
Date/Time,[1] Surface Outside Face Incident Solar Radiation Rate per Area  (W/m2),[1] Surface Outside Face Incident Solar Radiation Rate per Area  (W/m2),
,SHADER_0,SHADER_0,
Year 1 Jan 05 4:00 PM,23.16309582,23.16309582,0
Year 1 Jan 05 5:00 PM,3.400271496,3.400271496,0
Year 1 Jan 05 6:00 PM,0,0,0
Year 1 Jan 05 7:00 PM,0,0,0
Year 1 Jan 05 8:00 PM,0,0,0
Year 1 Jan 05 9:00 PM,0,0,0
Year 1 Jan 05 10:00 PM,0,0,0
Year 1 Jan 05 11:00 PM,0,0,0
Year 1 Jan 06 12:00 AM,0,0,0
Year 1 Jan 06 1:00 AM,0,0,0
Year 1 Jan 06 2:00 AM,0,0,0
Year 1 Jan 06 3:00 AM,0,0,0
Year 1 Jan 06 4:00 AM,0,0,0
Year 1 Jan 06 5:00 AM,0,0,0
Year 1 Jan 06 6:00 AM,0,0,0
Year 1 Jan 06 7:00 AM,0,0,0
Year 1 Jan 06 8:00 AM,8.367989251,8.367989251,0
Year 1 Jan 06 9:00 AM,27.19277718,27.19277718,0
Year 1 Jan 06 10:00 AM,38.42065806,38.42065806,0
Year 1 Jan 06 11:00 AM,56.37672144,56.37672144,0
Year 1 Jan 06 12:00 PM,65.88298847,65.88298847,0
Year 1 Jan 06 1:00 PM,68.98480359,68.98480359,0
Year 1 Jan 06 2:00 PM,52.88027293,52.88027293,0
Year 1 Jan 06 3:00 PM,46.4408087,46.4408087,0
Year 1 Jan 06 4:00 PM,28.6805048,28.6805048,0
Year 1 Jan 06 5:00 PM,3.980062435,3.980062435,0
Year 1 Jan 06 6:00 PM,0,0,0
Year 1 Jan 06 7:00 PM,0,0,0
Year 1 Jan 06 8:00 PM,0,0,0
Year 1 Jan 06 9:00 PM,0,0,0
Year 1 Jan 06 10:00 PM,0,0,0
Year 1 Jan 06 11:00 PM,0,0,0
Year 1 Jan 07 12:00 AM,0,0,0
Year 1 Jan 07 1:00 AM,0,0,0
Year 1 Jan 07 2:00 AM,0,0,0
Year 1 Jan 07 3:00 AM,0,0,0
Year 1 Jan 07 4:00 AM,0,0,0
Year 1 Jan 07 5:00 AM,0,0,0
Year 1 Jan 07 6:00 AM,0,0,0
Year 1 Jan 07 7:00 AM,0,0,0
Year 1 Jan 07 8:00 AM,7.183013278,7.183013278,0
Year 1 Jan 07 9:00 AM,20.93373869,20.93373869,0
Year 1 Jan 07 10:00 AM,29.42103428,29.42103428,0
Year 1 Jan 07 11:00 AM,33.76375519,33.76375519,0
Year 1 Jan 07 12:00 PM,35.43842091,35.43842091,0
Year 1 Jan 07 1:00 PM,35.22544076,35.22544076,0
Year 1 Jan 07 2:00 PM,32.70156117,32.70156117,0
Year 1 Jan 07 3:00 PM,27.43448395,27.43448395,0
Year 1 Jan 07 4:00 PM,17.9361019,17.9361019,0
Year 1 Jan 07 5:00 PM,4.281815093,4.281815093,0
Year 1 Jan 07 6:00 PM,0,0,0
Year 1 Jan 07 7:00 PM,0,0,0
Year 1 Jan 07 8:00 PM,0,0,0
Year 1 Jan 07 9:00 PM,0,0,0
Year 1 Jan 07 10:00 PM,0,0,0
Year 1 Jan 07 11:00 PM,0,0,0
Year 1 Jan 08 12:00 AM,0,0,0
Year 1 Jan 08 1:00 AM,0,0,0
Year 1 Jan 08 2:00 AM,0,0,0
Year 1 Jan 08 3:00 AM,0,0,0
Year 1 Jan 08 4:00 AM,0,0,0
Year 1 Jan 08 5:00 AM,0,0,0
Year 1 Jan 08 6:00 AM,0,0,0
Year 1 Jan 08 7:00 AM,0,0,0
Year 1 Jan 08 8:00 AM,7.555873262,7.555873262,0
Year 1 Jan 08 9:00 AM,22.11872,22.11872,0
Year 1 Jan 08 10:00 AM,34.453366,34.453366,0
Year 1 Jan 08 11:00 AM,46.46415643,46.46415643,0
Year 1 Jan 08 12:00 PM,60.37372563,60.37372563,0
Year 1 Jan 08 1:00 PM,47.1915619,47.1915619,0
Year 1 Jan 08 2:00 PM,39.54218014,39.54218014,0
Year 1 Jan 08 3:00 PM,27.75285051,27.75285051,0
Year 1 Jan 08 4:00 PM,19.43778552,19.43778552,0
Year 1 Jan 08 5:00 PM,4.554290437,4.554290437,0
Year 1 Jan 08 6:00 PM,0,0,0
Year 1 Jan 08 7:00 PM,0,0,0
Year 1 Jan 08 8:00 PM,0,0,0
Year 1 Jan 08 9:00 PM,0,0,0
Year 1 Jan 08 10:00 PM,0,0,0
Year 1 Jan 08 11:00 PM,0,0,0
Year 1 Jan 09 12:00 AM,0,0,0
Year 1 Jan 09 1:00 AM,0,0,0
Year 1 Jan 09 2:00 AM,0,0,0
Year 1 Jan 09 3:00 AM,0,0,0
Year 1 Jan 09 4:00 AM,0,0,0
Year 1 Jan 09 5:00 AM,0,0,0
Year 1 Jan 09 6:00 AM,0,0,0
Year 1 Jan 09 7:00 AM,0,0,0
Year 1 Jan 09 8:00 AM,8.061506746,8.061506746,0
Year 1 Jan 09 9:00 AM,30.73108387,30.73108387,0
Year 1 Jan 09 10:00 AM,56.57127955,56.57127955,0
Year 1 Jan 09 11:00 AM,74.25048037,74.25048037,0
Year 1 Jan 09 12:00 PM,74.86705031,74.86705031,0
Year 1 Jan 09 1:00 PM,77.93384398,77.93384398,0
Year 1 Jan 09 2:00 PM,62.68196455,62.68196455,0
Year 1 Jan 09 3:00 PM,43.63750719,43.63750719,0
Year 1 Jan 09 4:00 PM,24.5764524,24.5764524,0
Year 1 Jan 09 5:00 PM,4.454203708,4.454203708,0
Year 1 Jan 09 6:00 PM,0,0,0
Year 1 Jan 09 7:00 PM,0,0,0
Year 1 Jan 09 8:00 PM,0,0,0
Year 1 Jan 09 9:00 PM,0,0,0
Year 1 Jan 09 10:00 PM,0,0,0
Year 1 Jan 09 11:00 PM,0,0,0
Year 1 Jan 10 12:00 AM,0,0,0
Year 1 Jan 10 1:00 AM,0,0,0
Year 1 Jan 10 2:00 AM,0,0,0
Year 1 Jan 10 3:00 AM,0,0,0
Year 1 Jan 10 4:00 AM,0,0,0
Year 1 Jan 10 5:00 AM,0,0,0
Year 1 Jan 10 6:00 AM,0,0,0
Year 1 Jan 10 7:00 AM,0,0,0
Year 1 Jan 10 8:00 AM,8.108776395,8.108776395,0
Year 1 Jan 10 9:00 AM,26.04212914,26.04212914,0
Year 1 Jan 10 10:00 AM,35.06606189,35.06606189,0
Year 1 Jan 10 11:00 AM,40.16762205,40.16762205,0
Year 1 Jan 10 12:00 PM,45.6350946,45.6350946,0
Year 1 Jan 10 1:00 PM,45.40786823,45.40786823,0
Year 1 Jan 10 2:00 PM,39.17488631,39.17488631,0
Year 1 Jan 10 3:00 PM,33.3420117,33.3420117,0
Year 1 Jan 10 4:00 PM,22.78505014,22.78505014,0
Year 1 Jan 10 5:00 PM,5.02892979,5.02892979,0
Year 1 Jan 10 6:00 PM,0,0,0
Year 1 Jan 10 7:00 PM,0,0,0
Year 1 Jan 10 8:00 PM,0,0,0
Year 1 Jan 10 9:00 PM,0,0,0
Year 1 Jan 10 10:00 PM,0,0,0
Year 1 Jan 10 11:00 PM,0,0,0
Year 1 Jan 11 12:00 AM,0,0,0
Year 1 Jan 11 1:00 AM,0,0,0
Year 1 Jan 11 2:00 AM,0,0,0
Year 1 Jan 11 3:00 AM,0,0,0
Year 1 Jan 11 4:00 AM,0,0,0
Year 1 Jan 11 5:00 AM,0,0,0
Year 1 Jan 11 6:00 AM,0,0,0
Year 1 Jan 11 7:00 AM,0,0,0
Year 1 Jan 11 8:00 AM,6.042143018,6.042143018,0
Year 1 Jan 11 9:00 AM,26.58690146,26.58690146,0
Year 1 Jan 11 10:00 AM,50.84855928,50.84855928,0
Year 1 Jan 11 11:00 AM,56.34444903,56.34444903,0
Year 1 Jan 11 12:00 PM,60.51135784,60.51135784,0
Year 1 Jan 11 1:00 PM,60.19256438,60.19256438,0
Year 1 Jan 11 2:00 PM,49.88776284,49.88776284,0
Year 1 Jan 11 3:00 PM,30.5098584,30.5098584,0
Year 1 Jan 11 4:00 PM,18.99566921,18.99566921,0
Year 1 Jan 11 5:00 PM,4.712129751,4.712129751,0
Year 1 Jan 11 6:00 PM,0,0,0
Year 1 Jan 11 7:00 PM,0,0,0
Year 1 Jan 11 8:00 PM,0,0,0
Year 1 Jan 11 9:00 PM,0,0,0
Year 1 Jan 11 10:00 PM,0,0,0
Year 1 Jan 11 11:00 PM,0,0,0
Year 1 Jan 12 12:00 AM,0,0,0
Year 1 Jan 12 1:00 AM,0,0,0
Year 1 Jan 12 2:00 AM,0,0,0
Year 1 Jan 12 3:00 AM,0,0,0
Year 1 Jan 12 4:00 AM,0,0,0
Year 1 Jan 12 5:00 AM,0,0,0
Year 1 Jan 12 6:00 AM,0,0,0
Year 1 Jan 12 7:00 AM,0,0,0
Year 1 Jan 12 8:00 AM,8.821826195,8.821826195,0
Year 1 Jan 12 9:00 AM,27.91266708,27.91266708,0
Year 1 Jan 12 10:00 AM,33.67558665,33.67558665,0
Year 1 Jan 12 11:00 AM,49.22329429,49.22329429,0
Year 1 Jan 12 12:00 PM,61.70183864,61.70183864,0
Year 1 Jan 12 1:00 PM,66.0016781,66.0016781,0
Year 1 Jan 12 2:00 PM,61.5424607,61.5424607,0
Year 1 Jan 12 3:00 PM,43.12408302,43.12408302,0
Year 1 Jan 12 4:00 PM,22.19395862,22.19395862,0
Year 1 Jan 12 5:00 PM,3.975205074,3.975205074,0
Year 1 Jan 12 6:00 PM,0,0,0
Year 1 Jan 12 7:00 PM,0,0,0
Year 1 Jan 12 8:00 PM,0,0,0
Year 1 Jan 12 9:00 PM,0,0,0
Year 1 Jan 12 10:00 PM,0,0,0
Year 1 Jan 12 11:00 PM,0,0,0
Year 1 Jan 13 12:00 AM,0,0,0
Year 1 Jan 13 1:00 AM,0,0,0
Year 1 Jan 13 2:00 AM,0,0,0
Year 1 Jan 13 3:00 AM,0,0,0
Year 1 Jan 13 4:00 AM,0,0,0
Year 1 Jan 13 5:00 AM,0,0,0
Year 1 Jan 13 6:00 AM,0,0,0
Year 1 Jan 13 7:00 AM,0,0,0
Year 1 Jan 13 8:00 AM,8.750836438,8.750836438,0
Year 1 Jan 13 9:00 AM,28.29615546,28.29615546,0
Year 1 Jan 13 10:00 AM,38.57700217,38.57700217,0
Year 1 Jan 13 11:00 AM,44.4535814,44.4535814,0
Year 1 Jan 13 12:00 PM,49.10429836,49.10429836,0
Year 1 Jan 13 1:00 PM,59.59756761,59.59756761,0
Year 1 Jan 13 2:00 PM,72.77102105,72.77102105,0
Year 1 Jan 13 3:00 PM,47.93489434,47.93489434,0
Year 1 Jan 13 4:00 PM,13.66952564,13.66952564,0
Year 1 Jan 13 5:00 PM,2.468279578,2.468279578,0
Year 1 Jan 13 6:00 PM,0,0,0
Year 1 Jan 13 7:00 PM,0,0,0
Year 1 Jan 13 8:00 PM,0,0,0
Year 1 Jan 13 9:00 PM,0,0,0
Year 1 Jan 13 10:00 PM,0,0,0
Year 1 Jan 13 11:00 PM,0,0,0
Year 1 Jan 14 12:00 AM,0,0,0
