1,cubewall_unscheduled_0519.eso,cubewall_scheduled_0519.eso,
,,,
Date/Time,[1] Surface Outside Face Incident Solar Radiation Rate per Area  (W/m2),[1] Surface Outside Face Incident Solar Radiation Rate per Area  (W/m2),
,SHADER_0,SHADER_0,
Year 1 Feb 27 5:00 PM,22.38446431,22.38446431,0
Year 1 Feb 27 6:00 PM,4.337977644,4.337977644,0
Year 1 Feb 27 7:00 PM,0,0,0
Year 1 Feb 27 8:00 PM,0,0,0
Year 1 Feb 27 9:00 PM,0,0,0
Year 1 Feb 27 10:00 PM,0,0,0
Year 1 Feb 27 11:00 PM,0,0,0
Year 1 Feb 28 12:00 AM,0,0,0
Year 1 Feb 28 1:00 AM,0,0,0
Year 1 Feb 28 2:00 AM,0,0,0
Year 1 Feb 28 3:00 AM,0,0,0
Year 1 Feb 28 4:00 AM,0,0,0
Year 1 Feb 28 5:00 AM,0,0,0
Year 1 Feb 28 6:00 AM,0,0,0
Year 1 Feb 28 7:00 AM,6.711487004,6.711487004,0
Year 1 Feb 28 8:00 AM,33.58377145,33.58377145,0
Year 1 Feb 28 9:00 AM,60.46497753,60.46497753,0
Year 1 Feb 28 10:00 AM,77.02782459,77.02782459,0
Year 1 Feb 28 11:00 AM,86.9112348,86.9112348,0
Year 1 Feb 28 12:00 PM,83.04294012,83.04294012,0
Year 1 Feb 28 1:00 PM,78.76455824,78.76455824,0
Year 1 Feb 28 2:00 PM,75.93897959,75.93897959,0
Year 1 Feb 28 3:00 PM,67.55728514,67.55728514,0
Year 1 Feb 28 4:00 PM,52.09958292,52.09958292,0
Year 1 Feb 28 5:00 PM,30.41424758,30.41424758,0
Year 1 Feb 28 6:00 PM,5.488871564,5.488871564,0
Year 1 Feb 28 7:00 PM,0,0,0
Year 1 Feb 28 8:00 PM,0,0,0
Year 1 Feb 28 9:00 PM,0,0,0
Year 1 Feb 28 10:00 PM,0,0,0
Year 1 Feb 28 11:00 PM,0,0,0
Year 1 Mar 01 12:00 AM,0,0,0
Year 1 Mar 01 1:00 AM,0,0,0
Year 1 Mar 01 2:00 AM,0,0,0
Year 1 Mar 01 3:00 AM,0,0,0
Year 1 Mar 01 4:00 AM,0,0,0
Year 1 Mar 01 5:00 AM,0,0,0
Year 1 Mar 01 6:00 AM,0,0,0
Year 1 Mar 01 7:00 AM,3.678669967,3.678669967,0
Year 1 Mar 01 8:00 AM,17.63019661,17.63019661,0
Year 1 Mar 01 9:00 AM,37.91009024,37.91009024,0
Year 1 Mar 01 10:00 AM,78.86047783,78.86047783,0
Year 1 Mar 01 11:00 AM,89.36451586,89.36451586,0
Year 1 Mar 01 12:00 PM,67.20704656,67.20704656,0
Year 1 Mar 01 1:00 PM,69.81173254,69.81173254,0
Year 1 Mar 01 2:00 PM,68.14575013,68.14575013,0
Year 1 Mar 01 3:00 PM,82.79956833,82.79956833,0
Year 1 Mar 01 4:00 PM,56.91896448,56.91896448,0
Year 1 Mar 01 5:00 PM,29.18587315,29.18587315,0
Year 1 Mar 01 6:00 PM,6.089022643,6.089022643,0
Year 1 Mar 01 7:00 PM,0,0,0
Year 1 Mar 01 8:00 PM,0,0,0
Year 1 Mar 01 9:00 PM,0,0,0
Year 1 Mar 01 10:00 PM,0,0,0
Year 1 Mar 01 11:00 PM,0,0,0
Year 1 Mar 02 12:00 AM,0,0,0
Year 1 Mar 02 1:00 AM,0,0,0
Year 1 Mar 02 2:00 AM,0,0,0
Year 1 Mar 02 3:00 AM,0,0,0
Year 1 Mar 02 4:00 AM,0,0,0
Year 1 Mar 02 5:00 AM,0,0,0
Year 1 Mar 02 6:00 AM,0,0,0
Year 1 Mar 02 7:00 AM,6.445333155,6.445333155,0
Year 1 Mar 02 8:00 AM,28.63844423,28.63844423,0
Year 1 Mar 02 9:00 AM,46.47479188,46.47479188,0
Year 1 Mar 02 10:00 AM,64.02992365,64.02992365,0
Year 1 Mar 02 11:00 AM,72.52203164,72.52203164,0
Year 1 Mar 02 12:00 PM,79.20660639,79.20660639,0
Year 1 Mar 02 1:00 PM,80.911348,80.911348,0
Year 1 Mar 02 2:00 PM,86.82973027,86.82973027,0
Year 1 Mar 02 3:00 PM,78.16894123,78.16894123,0
Year 1 Mar 02 4:00 PM,57.85964788,57.85964788,0
Year 1 Mar 02 5:00 PM,34.00319894,34.00319894,0
Year 1 Mar 02 6:00 PM,5.858237831,5.858237831,0
Year 1 Mar 02 7:00 PM,0,0,0
Year 1 Mar 02 8:00 PM,0,0,0
Year 1 Mar 02 9:00 PM,0,0,0
Year 1 Mar 02 10:00 PM,0,0,0
Year 1 Mar 02 11:00 PM,0,0,0
Year 1 Mar 03 12:00 AM,0,0,0
Year 1 Mar 03 1:00 AM,0,0,0
Year 1 Mar 03 2:00 AM,0,0,0
Year 1 Mar 03 3:00 AM,0,0,0
Year 1 Mar 03 4:00 AM,0,0,0
Year 1 Mar 03 5:00 AM,0,0,0
Year 1 Mar 03 6:00 AM,0,0,0
Year 1 Mar 03 7:00 AM,5.133700856,5.133700856,0
Year 1 Mar 03 8:00 AM,25.56992376,25.56992376,0
Year 1 Mar 03 9:00 AM,63.24240135,63.24240135,0
Year 1 Mar 03 10:00 AM,68.4529475,68.4529475,0
Year 1 Mar 03 11:00 AM,79.26652227,79.26652227,0
Year 1 Mar 03 12:00 PM,96.78304703,96.78304703,0
Year 1 Mar 03 1:00 PM,85.53411242,85.53411242,0
Year 1 Mar 03 2:00 PM,86.5385867,86.5385867,0
Year 1 Mar 03 3:00 PM,69.35810594,69.35810594,0
Year 1 Mar 03 4:00 PM,50.30258168,50.30258168,0
Year 1 Mar 03 5:00 PM,25.17769639,25.17769639,0
Year 1 Mar 03 6:00 PM,4.846584068,4.846584068,0
Year 1 Mar 03 7:00 PM,0,0,0
Year 1 Mar 03 8:00 PM,0,0,0
Year 1 Mar 03 9:00 PM,0,0,0
Year 1 Mar 03 10:00 PM,0,0,0
Year 1 Mar 03 11:00 PM,0,0,0
Year 1 Mar 04 12:00 AM,0,0,0
Year 1 Mar 04 1:00 AM,0,0,0
Year 1 Mar 04 2:00 AM,0,0,0
Year 1 Mar 04 3:00 AM,0,0,0
Year 1 Mar 04 4:00 AM,0,0,0
Year 1 Mar 04 5:00 AM,0,0,0
Year 1 Mar 04 6:00 AM,0,0,0
Year 1 Mar 04 7:00 AM,4.734711124,4.734711124,0
Year 1 Mar 04 8:00 AM,20.0540177,20.0540177,0
Year 1 Mar 04 9:00 AM,41.06525506,41.06525506,0
Year 1 Mar 04 10:00 AM,57.16885183,57.16885183,0
Year 1 Mar 04 11:00 AM,71.99797567,71.99797567,0
Year 1 Mar 04 12:00 PM,82.00125867,82.00125867,0
Year 1 Mar 04 1:00 PM,87.22725221,87.22725221,0
Year 1 Mar 04 2:00 PM,82.93548434,82.93548434,0
Year 1 Mar 04 3:00 PM,69.69377664,69.69377664,0
Year 1 Mar 04 4:00 PM,47.11950147,47.11950147,0
Year 1 Mar 04 5:00 PM,21.3358075,21.3358075,0
Year 1 Mar 04 6:00 PM,3.899982649,3.899982649,0
Year 1 Mar 04 7:00 PM,0,0,0
Year 1 Mar 04 8:00 PM,0,0,0
Year 1 Mar 04 9:00 PM,0,0,0
Year 1 Mar 04 10:00 PM,0,0,0
Year 1 Mar 04 11:00 PM,0,0,0
Year 1 Mar 05 12:00 AM,0,0,0
Year 1 Mar 05 1:00 AM,0,0,0
Year 1 Mar 05 2:00 AM,0,0,0
Year 1 Mar 05 3:00 AM,0,0,0
Year 1 Mar 05 4:00 AM,0,0,0
Year 1 Mar 05 5:00 AM,0,0,0
Year 1 Mar 05 6:00 AM,0,0,0
Year 1 Mar 05 7:00 AM,7.348959128,7.348959128,0
Year 1 Mar 05 8:00 AM,28.71959615,28.71959615,0
Year 1 Mar 05 9:00 AM,49.83123298,49.83123298,0
Year 1 Mar 05 10:00 AM,81.61536694,81.61536694,0
Year 1 Mar 05 11:00 AM,96.85664217,96.85664217,0
Year 1 Mar 05 12:00 PM,102.245246,102.245246,0
Year 1 Mar 05 1:00 PM,106.4469691,106.4469691,0
Year 1 Mar 05 2:00 PM,105.3364268,105.3364268,0
Year 1 Mar 05 3:00 PM,85.85421212,85.85421212,0
Year 1 Mar 05 4:00 PM,57.55190933,57.55190933,0
Year 1 Mar 05 5:00 PM,24.84794312,24.84794312,0
Year 1 Mar 05 6:00 PM,5.981951873,5.981951873,0
Year 1 Mar 05 7:00 PM,0,0,0
Year 1 Mar 05 8:00 PM,0,0,0
Year 1 Mar 05 9:00 PM,0,0,0
Year 1 Mar 05 10:00 PM,0,0,0
Year 1 Mar 05 11:00 PM,0,0,0
Year 1 Mar 06 12:00 AM,0,0,0
Year 1 Mar 06 1:00 AM,0,0,0
Year 1 Mar 06 2:00 AM,0,0,0
Year 1 Mar 06 3:00 AM,0,0,0
Year 1 Mar 06 4:00 AM,0,0,0
Year 1 Mar 06 5:00 AM,0,0,0
Year 1 Mar 06 6:00 AM,0,0,0
Year 1 Mar 06 7:00 AM,8.884245074,8.884245074,0
Year 1 Mar 06 8:00 AM,39.78191855,39.78191855,0
Year 1 Mar 06 9:00 AM,67.38322659,67.38322659,0
Year 1 Mar 06 10:00 AM,64.07854951,64.07854951,0
Year 1 Mar 06 11:00 AM,48.00997854,48.00997854,0
Year 1 Mar 06 12:00 PM,55.3692392,55.3692392,0
Year 1 Mar 06 1:00 PM,58.72740117,58.72740117,0
Year 1 Mar 06 2:00 PM,55.83338158,55.83338158,0
Year 1 Mar 06 3:00 PM,52.71162203,52.71162203,0
Year 1 Mar 06 4:00 PM,51.70423981,51.70423981,0
Year 1 Mar 06 5:00 PM,29.33780507,29.33780507,0
Year 1 Mar 06 6:00 PM,8.017064855,8.017064855,0
Year 1 Mar 06 7:00 PM,0,0,0
Year 1 Mar 06 8:00 PM,0,0,0
Year 1 Mar 06 9:00 PM,0,0,0
Year 1 Mar 06 10:00 PM,0,0,0
Year 1 Mar 06 11:00 PM,0,0,0
Year 1 Mar 07 12:00 AM,0,0,0
Year 1 Mar 07 1:00 AM,0,0,0
Year 1 Mar 07 2:00 AM,0,0,0
Year 1 Mar 07 3:00 AM,0,0,0
Year 1 Mar 07 4:00 AM,0,0,0
Year 1 Mar 07 5:00 AM,0,0,0
Year 1 Mar 07 6:00 AM,0,0,0
Year 1 Mar 07 7:00 AM,5.931917264,5.931917264,0
Year 1 Mar 07 8:00 AM,25.0018072,25.0018072,0
Year 1 Mar 07 9:00 AM,35.58190162,35.58190162,0
Year 1 Mar 07 10:00 AM,71.70834749,71.70834749,0
Year 1 Mar 07 11:00 AM,98.3225824,98.3225824,0
Year 1 Mar 07 12:00 PM,108.7612522,108.7612522,0
Year 1 Mar 07 1:00 PM,104.0422764,104.0422764,0
Year 1 Mar 07 2:00 PM,100.8277806,100.8277806,0
Year 1 Mar 07 3:00 PM,91.3589905,91.3589905,0
Year 1 Mar 07 4:00 PM,68.37356982,68.37356982,0
Year 1 Mar 07 5:00 PM,33.20714148,33.20714148,0
Year 1 Mar 07 6:00 PM,7.594579435,7.594579435,0
Year 1 Mar 07 7:00 PM,0,0,0
Year 1 Mar 07 8:00 PM,0,0,0
Year 1 Mar 07 9:00 PM,0,0,0
Year 1 Mar 07 10:00 PM,0,0,0
Year 1 Mar 07 11:00 PM,0,0,0
Year 1 Mar 08 12:00 AM,0,0,0
Year 1 Mar 08 1:00 AM,0,0,0
Year 1 Mar 08 2:00 AM,0,0,0
Year 1 Mar 08 3:00 AM,0,0,0
Year 1 Mar 08 4:00 AM,0,0,0
Year 1 Mar 08 5:00 AM,0,0,0
Year 1 Mar 08 6:00 AM,0,0,0
Year 1 Mar 08 7:00 AM,9.642778955,9.642778955,0
Year 1 Mar 08 8:00 AM,28.708291,28.708291,0
Year 1 Mar 08 9:00 AM,38.93491231,38.93491231,0
Year 1 Mar 08 10:00 AM,45.44021701,45.44021701,0
Year 1 Mar 08 11:00 AM,47.8504726,47.8504726,0
Year 1 Mar 08 12:00 PM,48.54752592,48.54752592,0
Year 1 Mar 08 1:00 PM,48.72383415,48.72383415,0
Year 1 Mar 08 2:00 PM,47.888316,47.888316,0
Year 1 Mar 08 3:00 PM,45.38788045,45.38788045,0
Year 1 Mar 08 4:00 PM,38.69564564,38.69564564,0
Year 1 Mar 08 5:00 PM,25.96569258,25.96569258,0
Year 1 Mar 08 6:00 PM,8.48185638,8.48185638,0
Year 1 Mar 08 7:00 PM,0,0,0
Year 1 Mar 08 8:00 PM,0,0,0
Year 1 Mar 08 9:00 PM,0,0,0
Year 1 Mar 08 10:00 PM,0,0,0
Year 1 Mar 08 11:00 PM,0,0,0
Year 1 Mar 09 12:00 AM,0,0,0
Year 1 Mar 09 1:00 AM,0,0,0
Year 1 Mar 09 2:00 AM,0,0,0
Year 1 Mar 09 3:00 AM,0,0,0
Year 1 Mar 09 4:00 AM,0,0,0
Year 1 Mar 09 5:00 AM,0,0,0
Year 1 Mar 09 6:00 AM,0,0,0
Year 1 Mar 09 7:00 AM,11.15842214,11.15842214,0
Year 1 Mar 09 8:00 AM,31.74871158,31.74871158,0
Year 1 Mar 09 9:00 AM,43.86600757,43.86600757,0
Year 1 Mar 09 10:00 AM,50.58061445,50.58061445,0
Year 1 Mar 09 11:00 AM,58.32020382,58.32020382,0
Year 1 Mar 09 12:00 PM,59.19471679,59.19471679,0
Year 1 Mar 09 1:00 PM,59.09203194,59.09203194,0
Year 1 Mar 09 2:00 PM,58.21845135,58.21845135,0
Year 1 Mar 09 3:00 PM,50.31574268,50.31574268,0
Year 1 Mar 09 4:00 PM,43.01196157,43.01196157,0
Year 1 Mar 09 5:00 PM,29.78962871,29.78962871,0
Year 1 Mar 09 6:00 PM,9.023553879,9.023553879,0
Year 1 Mar 09 7:00 PM,0,0,0
Year 1 Mar 09 8:00 PM,0,0,0
Year 1 Mar 09 9:00 PM,0,0,0
Year 1 Mar 09 10:00 PM,0,0,0
Year 1 Mar 09 11:00 PM,0,0,0
Year 1 Mar 10 12:00 AM,0,0,0
Year 1 Mar 10 1:00 AM,0,0,0
Year 1 Mar 10 2:00 AM,0,0,0
Year 1 Mar 10 3:00 AM,0,0,0
Year 1 Mar 10 4:00 AM,0,0,0
Year 1 Mar 10 5:00 AM,0,0,0
Year 1 Mar 10 6:00 AM,0,0,0
Year 1 Mar 10 7:00 AM,11.97344812,11.97344812,0
Year 1 Mar 10 8:00 AM,36.08908966,36.08908966,0
Year 1 Mar 10 9:00 AM,53.31581393,53.31581393,0
Year 1 Mar 10 10:00 AM,66.87329039,66.87329039,0
Year 1 Mar 10 11:00 AM,70.4900033,70.4900033,0
Year 1 Mar 10 12:00 PM,73.05253617,73.05253617,0
Year 1 Mar 10 1:00 PM,84.12482929,84.12482929,0
Year 1 Mar 10 2:00 PM,84.96246537,84.96246537,0
Year 1 Mar 10 3:00 PM,88.58865687,88.58865687,0
Year 1 Mar 10 4:00 PM,67.68578432,67.68578432,0
Year 1 Mar 10 5:00 PM,36.54225767,36.54225767,0
Year 1 Mar 10 6:00 PM,9.000652308,9.000652308,0
Year 1 Mar 10 7:00 PM,0,0,0
Year 1 Mar 10 8:00 PM,0,0,0
Year 1 Mar 10 9:00 PM,0,0,0
Year 1 Mar 10 10:00 PM,0,0,0
Year 1 Mar 10 11:00 PM,0,0,0
Year 1 Mar 11 12:00 AM,0,0,0
Year 1 Mar 11 1:00 AM,0,0,0
Year 1 Mar 11 2:00 AM,0,0,0
Year 1 Mar 11 3:00 AM,0,0,0
Year 1 Mar 11 4:00 AM,0,0,0
Year 1 Mar 11 5:00 AM,0,0,0
Year 1 Mar 11 6:00 AM,0,0,0
Year 1 Mar 11 7:00 AM,6.997182119,6.997182119,0
Year 1 Mar 11 8:00 AM,27.48062943,27.48062943,0
Year 1 Mar 11 9:00 AM,50.98723404,50.98723404,0
Year 1 Mar 11 10:00 AM,82.58154128,82.58154128,0
Year 1 Mar 11 11:00 AM,106.183074,106.183074,0
Year 1 Mar 11 12:00 PM,113.4000643,113.4000643,0
Year 1 Mar 11 1:00 PM,118.6128935,118.6128935,0
Year 1 Mar 11 2:00 PM,105.616781,105.616781,0
Year 1 Mar 11 3:00 PM,87.53200297,87.53200297,0
Year 1 Mar 11 4:00 PM,64.57692602,64.57692602,0
Year 1 Mar 11 5:00 PM,26.40391159,26.40391159,0
Year 1 Mar 11 6:00 PM,5.644208395,5.644208395,0
Year 1 Mar 11 7:00 PM,0,0,0
Year 1 Mar 11 8:00 PM,0,0,0
Year 1 Mar 11 9:00 PM,0,0,0
Year 1 Mar 11 10:00 PM,0,0,0
Year 1 Mar 11 11:00 PM,0,0,0
Year 1 Mar 12 12:00 AM,0,0,0
Year 1 Mar 12 1:00 AM,0,0,0
Year 1 Mar 12 2:00 AM,0,0,0
Year 1 Mar 12 3:00 AM,0,0,0
Year 1 Mar 12 4:00 AM,0,0,0
Year 1 Mar 12 5:00 AM,0,0,0
Year 1 Mar 12 6:00 AM,0,0,0
Year 1 Mar 12 7:00 AM,12.40561956,12.40561956,0
Year 1 Mar 12 8:00 AM,31.04426102,31.04426102,0
Year 1 Mar 12 9:00 AM,41.90530349,41.90530349,0
Year 1 Mar 12 10:00 AM,51.26896993,51.26896993,0
Year 1 Mar 12 11:00 AM,53.52305877,53.52305877,0
Year 1 Mar 12 12:00 PM,54.14263202,54.14263202,0
Year 1 Mar 12 1:00 PM,54.0973097,54.0973097,0
Year 1 Mar 12 2:00 PM,54.58805409,54.58805409,0
Year 1 Mar 12 3:00 PM,57.82593857,57.82593857,0
Year 1 Mar 12 4:00 PM,68.38265242,68.38265242,0
Year 1 Mar 12 5:00 PM,37.41010424,37.41010424,0
Year 1 Mar 12 6:00 PM,10.6620012,10.6620012,0
Year 1 Mar 12 7:00 PM,0,0,0
Year 1 Mar 12 8:00 PM,0,0,0
Year 1 Mar 12 9:00 PM,0,0,0
Year 1 Mar 12 10:00 PM,0,0,0
Year 1 Mar 12 11:00 PM,0,0,0
Year 1 Mar 13 12:00 AM,0,0,0
Year 1 Mar 13 1:00 AM,0,0,0
Year 1 Mar 13 2:00 AM,0,0,0
Year 1 Mar 13 3:00 AM,0,0,0
Year 1 Mar 13 4:00 AM,0,0,0
Year 1 Mar 13 5:00 AM,0,0,0
Year 1 Mar 13 6:00 AM,0,0,0
Year 1 Mar 13 7:00 AM,6.58623727,6.58623727,0
Year 1 Mar 13 8:00 AM,22.09045592,22.09045592,0
Year 1 Mar 13 9:00 AM,51.48217214,51.48217214,0
Year 1 Mar 13 10:00 AM,68.53692736,68.53692736,0
Year 1 Mar 13 11:00 AM,66.13657116,66.13657116,0
Year 1 Mar 13 12:00 PM,67.45810148,67.45810148,0
Year 1 Mar 13 1:00 PM,68.34591436,68.34591436,0
Year 1 Mar 13 2:00 PM,68.84535529,68.84535529,0
Year 1 Mar 13 3:00 PM,87.34585363,87.34585363,0
Year 1 Mar 13 4:00 PM,61.24478688,61.24478688,0
Year 1 Mar 13 5:00 PM,33.22987193,33.22987193,0
Year 1 Mar 13 6:00 PM,5.546328378,5.546328378,0
Year 1 Mar 13 7:00 PM,0,0,0
Year 1 Mar 13 8:00 PM,0,0,0
Year 1 Mar 13 9:00 PM,0,0,0
Year 1 Mar 13 10:00 PM,0,0,0
Year 1 Mar 13 11:00 PM,0,0,0
Year 1 Mar 14 12:00 AM,0,0,0
Year 1 Mar 14 1:00 AM,0,0,0
Year 1 Mar 14 2:00 AM,0,0,0
Year 1 Mar 14 3:00 AM,0,0,0
Year 1 Mar 14 4:00 AM,0,0,0
Year 1 Mar 14 5:00 AM,0,0,0
Year 1 Mar 14 6:00 AM,0,0,0
Year 1 Mar 14 7:00 AM,11.61519481,11.61519481,0
Year 1 Mar 14 8:00 AM,25.30806931,25.30806931,0
Year 1 Mar 14 9:00 AM,36.65043684,36.65043684,0
Year 1 Mar 14 10:00 AM,51.3928502,51.3928502,0
Year 1 Mar 14 11:00 AM,53.65595976,53.65595976,0
Year 1 Mar 14 12:00 PM,63.67549559,63.67549559,0
Year 1 Mar 14 1:00 PM,95.26187359,95.26187359,0
Year 1 Mar 14 2:00 PM,86.80023468,86.80023468,0
Year 1 Mar 14 3:00 PM,72.56322234,72.56322234,0
Year 1 Mar 14 4:00 PM,55.25054963,55.25054963,0
Year 1 Mar 14 5:00 PM,35.01890977,35.01890977,0
Year 1 Mar 14 6:00 PM,12.68642916,12.68642916,0
Year 1 Mar 14 7:00 PM,0,0,0
Year 1 Mar 14 8:00 PM,0,0,0
Year 1 Mar 14 9:00 PM,0,0,0
Year 1 Mar 14 10:00 PM,0,0,0
Year 1 Mar 14 11:00 PM,0,0,0
Year 1 Mar 15 12:00 AM,0,0,0
Year 1 Mar 15 1:00 AM,0,0,0
Year 1 Mar 15 2:00 AM,0,0,0
Year 1 Mar 15 3:00 AM,0,0,0
Year 1 Mar 15 4:00 AM,0,0,0
Year 1 Mar 15 5:00 AM,0,0,0
Year 1 Mar 15 6:00 AM,0,0,0
Year 1 Mar 15 7:00 AM,13.36102583,13.36102583,0
Year 1 Mar 15 8:00 AM,26.35539364,26.35539364,0
Year 1 Mar 15 9:00 AM,36.63010916,36.63010916,0
Year 1 Mar 15 10:00 AM,42.44103059,42.44103059,0
Year 1 Mar 15 11:00 AM,44.06711883,44.06711883,0
Year 1 Mar 15 12:00 PM,44.47734881,44.47734881,0
Year 1 Mar 15 1:00 PM,44.42465693,44.42465693,0
Year 1 Mar 15 2:00 PM,43.85309228,43.85309228,0
Year 1 Mar 15 3:00 PM,41.86200038,41.86200038,0
Year 1 Mar 15 4:00 PM,34.95979301,34.95979301,0
Year 1 Mar 15 5:00 PM,25.16800776,25.16800776,0
Year 1 Mar 15 6:00 PM,10.44398499,10.44398499,0
Year 1 Mar 15 7:00 PM,0,0,0
Year 1 Mar 15 8:00 PM,0,0,0
Year 1 Mar 15 9:00 PM,0,0,0
Year 1 Mar 15 10:00 PM,0,0,0
Year 1 Mar 15 11:00 PM,0,0,0
Year 1 Mar 16 12:00 AM,0,0,0
Year 1 Mar 16 1:00 AM,0,0,0
Year 1 Mar 16 2:00 AM,0,0,0
Year 1 Mar 16 3:00 AM,0,0,0
Year 1 Mar 16 4:00 AM,0,0,0
Year 1 Mar 16 5:00 AM,0,0,0
Year 1 Mar 16 6:00 AM,0,0,0
Year 1 Mar 16 7:00 AM,17.16160917,17.16160917,0
Year 1 Mar 16 8:00 AM,44.17653248,44.17653248,0
Year 1 Mar 16 9:00 AM,70.54201993,70.54201993,0
Year 1 Mar 16 10:00 AM,94.57691829,94.57691829,0
Year 1 Mar 16 11:00 AM,83.85842892,83.85842892,0
Year 1 Mar 16 12:00 PM,102.443988,102.443988,0
Year 1 Mar 16 1:00 PM,109.8471281,109.8471281,0
Year 1 Mar 16 2:00 PM,95.64264468,95.64264468,0
Year 1 Mar 16 3:00 PM,85.63030952,85.63030952,0
Year 1 Mar 16 4:00 PM,63.28333214,63.28333214,0
Year 1 Mar 16 5:00 PM,33.03610974,33.03610974,0
Year 1 Mar 16 6:00 PM,12.56192003,12.56192003,0
Year 1 Mar 16 7:00 PM,0,0,0
Year 1 Mar 16 8:00 PM,0,0,0
Year 1 Mar 16 9:00 PM,0,0,0
Year 1 Mar 16 10:00 PM,0,0,0
Year 1 Mar 16 11:00 PM,0,0,0
Year 1 Mar 17 12:00 AM,0,0,0
Year 1 Mar 17 1:00 AM,0,0,0
Year 1 Mar 17 2:00 AM,0,0,0
Year 1 Mar 17 3:00 AM,0,0,0
Year 1 Mar 17 4:00 AM,0,0,0
Year 1 Mar 17 5:00 AM,0,0,0
Year 1 Mar 17 6:00 AM,0,0,0
Year 1 Mar 17 7:00 AM,16.38846482,16.38846482,0
Year 1 Mar 17 8:00 AM,36.39653009,36.39653009,0
Year 1 Mar 17 9:00 AM,63.56046794,63.56046794,0
Year 1 Mar 17 10:00 AM,92.82871376,92.82871376,0
Year 1 Mar 17 11:00 AM,88.63005096,88.63005096,0
Year 1 Mar 17 12:00 PM,101.3697604,101.3697604,0
Year 1 Mar 17 1:00 PM,109.9702636,109.9702636,0
Year 1 Mar 17 2:00 PM,73.4499972,73.4499972,0
Year 1 Mar 17 3:00 PM,52.30551208,52.30551208,0
Year 1 Mar 17 4:00 PM,47.09327477,47.09327477,0
Year 1 Mar 17 5:00 PM,29.4697262,29.4697262,0
Year 1 Mar 17 6:00 PM,11.32111876,11.32111876,0
Year 1 Mar 17 7:00 PM,0,0,0
Year 1 Mar 17 8:00 PM,0,0,0
Year 1 Mar 17 9:00 PM,0,0,0
Year 1 Mar 17 10:00 PM,0,0,0
Year 1 Mar 17 11:00 PM,0,0,0
Year 1 Mar 18 12:00 AM,0,0,0
Year 1 Mar 18 1:00 AM,0,0,0
Year 1 Mar 18 2:00 AM,0,0,0
Year 1 Mar 18 3:00 AM,0,0,0
Year 1 Mar 18 4:00 AM,0,0,0
Year 1 Mar 18 5:00 AM,0,0,0
Year 1 Mar 18 6:00 AM,0,0,0
Year 1 Mar 18 7:00 AM,16.83459953,16.83459953,0
Year 1 Mar 18 8:00 AM,37.61303547,37.61303547,0
Year 1 Mar 18 9:00 AM,49.6127739,49.6127739,0
Year 1 Mar 18 10:00 AM,55.74202142,55.74202142,0
Year 1 Mar 18 11:00 AM,61.32369927,61.32369927,0
Year 1 Mar 18 12:00 PM,63.08024058,63.08024058,0
Year 1 Mar 18 1:00 PM,63.09345758,63.09345758,0
Year 1 Mar 18 2:00 PM,60.32234438,60.32234438,0
Year 1 Mar 18 3:00 PM,55.01756967,55.01756967,0
Year 1 Mar 18 4:00 PM,48.03605846,48.03605846,0
Year 1 Mar 18 5:00 PM,33.85099461,33.85099461,0
Year 1 Mar 18 6:00 PM,11.52141159,11.52141159,0
Year 1 Mar 18 7:00 PM,0,0,0
Year 1 Mar 18 8:00 PM,0,0,0
Year 1 Mar 18 9:00 PM,0,0,0
Year 1 Mar 18 10:00 PM,0,0,0
Year 1 Mar 18 11:00 PM,0,0,0
Year 1 Mar 19 12:00 AM,0,0,0
Year 1 Mar 19 1:00 AM,0,0,0
Year 1 Mar 19 2:00 AM,0,0,0
Year 1 Mar 19 3:00 AM,0,0,0
Year 1 Mar 19 4:00 AM,0,0,0
Year 1 Mar 19 5:00 AM,0,0,0
Year 1 Mar 19 6:00 AM,0,0,0
Year 1 Mar 19 7:00 AM,19.65609952,19.65609952,0
Year 1 Mar 19 8:00 AM,46.63765862,46.63765862,0
Year 1 Mar 19 9:00 AM,71.69412826,71.69412826,0
Year 1 Mar 19 10:00 AM,94.19931154,94.19931154,0
Year 1 Mar 19 11:00 AM,90.41278028,90.41278028,0
Year 1 Mar 19 12:00 PM,84.22477185,84.22477185,0
Year 1 Mar 19 1:00 PM,75.45609373,75.45609373,0
Year 1 Mar 19 2:00 PM,66.52415333,66.52415333,0
Year 1 Mar 19 3:00 PM,60.83222234,60.83222234,0
Year 1 Mar 19 4:00 PM,54.23016656,54.23016656,0
Year 1 Mar 19 5:00 PM,34.53278027,34.53278027,0
Year 1 Mar 19 6:00 PM,12.0966329,12.0966329,0
Year 1 Mar 19 7:00 PM,0,0,0
Year 1 Mar 19 8:00 PM,0,0,0
Year 1 Mar 19 9:00 PM,0,0,0
Year 1 Mar 19 10:00 PM,0,0,0
Year 1 Mar 19 11:00 PM,0,0,0
Year 1 Mar 20 12:00 AM,0,0,0
Year 1 Mar 20 1:00 AM,0,0,0
Year 1 Mar 20 2:00 AM,0,0,0
Year 1 Mar 20 3:00 AM,0,0,0
Year 1 Mar 20 4:00 AM,0,0,0
Year 1 Mar 20 5:00 AM,0,0,0
Year 1 Mar 20 6:00 AM,0,0,0
Year 1 Mar 20 7:00 AM,17.57273557,17.57273557,0
Year 1 Mar 20 8:00 AM,37.01686195,37.01686195,0
