Time,ZONE_0:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Des Heat Load [W],ZONE_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Des Sens Cool Load [W],ZONE_0:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Des Heat Mass Flow [kg/s],ZONE_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Des Cool Mass Flow [kg/s],ZONE_0::Des Latent Heat Load [W],ZONE_0::Des Latent Cool Load [W],ZONE_0::Des Latent Heat Mass Flow [kg/s],ZONE_0::Des Latent Cool Mass Flow [kg/s],ZONE_0::Des Heat Load No DOAS [W],ZONE_0::Des Sens Cool Load No DOAS [W],ZONE_0::Des Latent Heat Load No DOAS [W],ZONE_0::Des Latent Cool Load No DOAS [W],ZONE_0:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Heating Zone Temperature [C],ZONE_0:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Heating Zone Relative Humidity [%],ZONE_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Cooling Zone Temperature [C],ZONE_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Cooling Zone Relative Humidity [%]
00:10:00,4.769614E+03,5.330501E+01,3.139158E-01,3.727812E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999033E+01,2.308392E+01,2.599546E+01,7.454255E+01
00:20:00,4.786916E+03,6.964030E+01,3.150544E-01,4.870421E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999027E+01,2.309125E+01,2.599561E+01,7.500550E+01
00:30:00,4.813218E+03,8.401286E+01,3.167849E-01,5.875743E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999020E+01,2.310413E+01,2.599579E+01,7.528450E+01
00:40:00,4.848289E+03,9.642550E+01,3.190925E-01,6.743972E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999013E+01,2.311816E+01,2.599599E+01,7.541933E+01
00:50:00,4.892020E+03,1.068347E+02,3.219697E-01,7.472063E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999007E+01,2.313125E+01,2.599621E+01,7.546695E+01
01:00:00,4.944327E+03,1.152167E+02,3.254112E-01,8.058360E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999001E+01,2.314365E+01,2.599644E+01,7.546858E+01
01:10:00,4.990699E+03,1.066834E+02,3.284617E-01,7.461436E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998995E+01,2.315594E+01,2.599668E+01,7.544623E+01
01:20:00,5.030144E+03,9.693835E+01,3.310566E-01,6.779756E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998993E+01,2.316333E+01,2.599717E+01,7.555155E+01
01:30:00,5.062691E+03,8.597891E+01,3.331977E-01,6.013155E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998992E+01,2.316719E+01,2.599765E+01,7.583164E+01
01:40:00,5.088515E+03,7.383108E+01,3.348964E-01,5.163462E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998991E+01,2.317016E+01,2.599813E+01,7.625187E+01
01:50:00,5.107683E+03,6.056565E+01,3.361574E-01,4.235638E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998990E+01,2.317322E+01,2.599861E+01,7.675905E+01
02:00:00,5.120240E+03,4.608168E+01,3.369833E-01,3.222634E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998989E+01,2.317624E+01,2.599910E+01,7.731101E+01
