Surface Name,6:F0: SurfDifShdgRatioIsoSky,6:F0: SurfDifShdgRatioHoriz,6:F0: ViewFactorSkyIR,6:F0: ViewFactorGroundIR,6:F1: SurfDifShdgRatioIsoSky,6:F1: SurfDifShdgRatioHoriz,6:F1: ViewFactorSkyIR,6:F1: ViewFactorGroundIR,6:F2: SurfDifShdgRatioIsoSky,6:F2: SurfDifShdgRatioHoriz,6:F2: ViewFactorSkyIR,6:F2: ViewFactorGroundIR,6:F2_W0: SurfDifShdgRatioIsoSky,6:F2_W0: SurfDifShdgRatioHoriz,6:F2_W0: ViewFactorSkyIR,6:F2_W0: ViewFactorGroundIR,6:F3: SurfDifShdgRatioIsoSky,6:F3: SurfDifShdgRatioHoriz,6:F3: ViewFactorSkyIR,6:F3: ViewFactorGroundIR,6:F3_W0: SurfDifShdgRatioIsoSky,6:F3_W0: SurfDifShdgRatioHoriz,6:F3_W0: ViewFactorSkyIR,6:F3_W0: ViewFactorGroundIR,6:F3_W1: SurfDifShdgRatioIsoSky,6:F3_W1: SurfDifShdgRatioHoriz,6:F3_W1: ViewFactorSkyIR,6:F3_W1: ViewFactorGroundIR,6:F4: SurfDifShdgRatioIsoSky,6:F4: SurfDifShdgRatioHoriz,6:F4: ViewFactorSkyIR,6:F4: ViewFactorGroundIR
 01/01 03:10,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 03:20,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 03:30,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 03:40,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 03:50,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 04:00,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 04:10,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 04:20,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 04:30,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 04:40,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 04:50,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 05:00,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 05:10,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 05:20,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 05:30,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 05:40,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 05:50,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 06:00,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 06:10,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 06:20,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 06:30,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 06:40,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 06:50,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 07:00,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 07:10,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 07:20,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,1.688073394,1.688073394,0.384615,0.25,1,1,0.269231,0.458333,6.575221239,6.575221239,0.326923,0.395833,6.095477387,6.095477387,0.384615,0.229167,1,1,0.326923,0.395833
